n, S, comparisons
100000, 2, 1498239
100000, 3, 1497976
100000, 4, 1497387
100000, 5, 1497336
100000, 6, 1498413
100000, 7, 1498570
100000, 8, 1498738
100000, 9, 1498071
100000, 10, 1498732
100000, 11, 1549301
100000, 12, 1564308
100000, 13, 1565309
100000, 14, 1564443
100000, 15, 1564322
100000, 16, 1564752
100000, 17, 1564262
100000, 18, 1565151
100000, 19, 1566976
100000, 20, 1565441
100000, 21, 1564013
100000, 22, 1565911
100000, 23, 1686984
100000, 24, 1776035
100000, 25, 1773623
100000, 26, 1778683
100000, 27, 1775419
100000, 28, 1778412
100000, 29, 1778319
100000, 30, 1775719
100000, 31, 1776862
100000, 32, 1776744
100000, 33, 1779864
100000, 34, 1776374
100000, 35, 1777475
100000, 36, 1777769
100000, 37, 1774252
100000, 38, 1779601
100000, 39, 1777710
100000, 40, 1778151
100000, 41, 1776327
100000, 42, 1778137
100000, 43, 1775722
100000, 44, 1775448
100000, 45, 1776344
100000, 46, 1777640
100000, 47, 1862160
100000, 48, 2288518
100000, 49, 2294620
100000, 50, 2290576
100000, 51, 2289662
100000, 52, 2289724
100000, 53, 2289013
100000, 54, 2288624
100000, 55, 2288720
100000, 56, 2288954
100000, 57, 2293341
100000, 58, 2289177
100000, 59, 2291913
100000, 60, 2291271
100000, 61, 2293790
100000, 62, 2297336
100000, 63, 2292880
100000, 64, 2287501
100000, 65, 2292491
100000, 66, 2292119
100000, 67, 2286501
100000, 68, 2289736
100000, 69, 2290232
100000, 70, 2293068
100000, 71, 2293304
100000, 72, 2297753
100000, 73, 2291412
100000, 74, 2287949
100000, 75, 2289647
100000, 76, 2297461
100000, 77, 2292600
100000, 78, 2290961
100000, 79, 2291455
100000, 80, 2287611
100000, 81, 2291179
100000, 82, 2291907
100000, 83, 2288795
100000, 84, 2297367
100000, 85, 2292295
100000, 86, 2289797
100000, 87, 2287387
100000, 88, 2292207
100000, 89, 2295987
100000, 90, 2290977
100000, 91, 2290720
100000, 92, 2290173
100000, 93, 2287959
100000, 94, 2288623
100000, 95, 2289557
100000, 96, 2671593
100000, 97, 3413289
100000, 98, 3415790
100000, 99, 3422874
100000, 100, 3420940
100000, 101, 3413714
100000, 102, 3411410
100000, 103, 3421756
100000, 104, 3406797
100000, 105, 3410232
100000, 106, 3416046
100000, 107, 3421665
100000, 108, 3406399
100000, 109, 3413073
100000, 110, 3405621
100000, 111, 3416209
100000, 112, 3415807
100000, 113, 3407836
100000, 114, 3416127
100000, 115, 3416022
100000, 116, 3424069
100000, 117, 3416642
100000, 118, 3409778
100000, 119, 3410753
100000, 120, 3413125
100000, 121, 3420296
100000, 122, 3418149
100000, 123, 3418918
100000, 124, 3417394
100000, 125, 3405455
100000, 126, 3420979
100000, 127, 3413973
100000, 128, 3418263
100000, 129, 3419406
100000, 130, 3408036
100000, 131, 3425629
100000, 132, 3413531
100000, 133, 3418226
100000, 134, 3409986
100000, 135, 3407802
100000, 136, 3408393
100000, 137, 3424533
100000, 138, 3409673
100000, 139, 3415934
100000, 140, 3415936
100000, 141, 3412455
100000, 142, 3415087
100000, 143, 3413313
100000, 144, 3405194
100000, 145, 3422358
100000, 146, 3411991
100000, 147, 3416497
100000, 148, 3414666
100000, 149, 3410520
100000, 150, 3417980
