n, comparisons
1000, 8525
1000, 8488
1000, 8419
1000, 8453
1000, 8409
1000, 8522
1000, 8501
1000, 8459
1000, 8467
1000, 8450
5000, 54644
5000, 55099
5000, 55139
5000, 54781
5000, 55096
5000, 55163
5000, 55106
5000, 55088
5000, 54945
5000, 55117
10000, 119637
10000, 120110
10000, 120313
10000, 120115
10000, 120063
10000, 120085
10000, 120016
10000, 120195
10000, 119803
10000, 119976
50000, 698793
50000, 699182
50000, 699090
50000, 699061
50000, 699452
50000, 699577
50000, 699128
50000, 699126
50000, 699506
50000, 698950
100000, 1498220
100000, 1497656
100000, 1497866
100000, 1498359
100000, 1498780
100000, 1498474
100000, 1498413
100000, 1498570
100000, 1498738
100000, 1498071
500000, 8711334
500000, 8710840
500000, 8712285
500000, 8710245
500000, 8711934
500000, 8711557
500000, 8710575
500000, 8713372
500000, 8711627
500000, 8711676
1000000, 18421309
1000000, 18423951
1000000, 18422868
1000000, 18421555
1000000, 18423229
1000000, 18421785
1000000, 18421680
1000000, 18424840
1000000, 18421815
1000000, 18422739
5000000, 104719553
5000000, 104722278
5000000, 104719777
5000000, 104717539
5000000, 104725051
5000000, 104720279
5000000, 104718448
5000000, 104725168
5000000, 104722302
5000000, 104716572
10000000, 219440547
10000000, 219452641
10000000, 219446238
10000000, 219440524
10000000, 219437665
10000000, 219445628
10000000, 219440548
10000000, 219446838
10000000, 219447278
10000000, 219436051
